board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
,Dr. Krista McKenzie,,,,,,,,,,,,
,Dr. Olga Sobol,,,,,,,,,,,,
,Dr. Matthew Clark,,,,,,,,,,,,
,Dr. Youngmo Kang,,,,,,,,,,,,
,Dr. Christopher Perez,,,,,,,,,,,,
,Dr. Cynthia Co Ting Keh,,,,,,,,,,,,
,Dr. Ali Mithani,,,,,,,,,,,,
,Dr. William Wong,,,,,,,,,,,,
,Dr. Majid Jamali,,,,,,,,,,,,
,Dr. Alexander Kimon,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,Dr. Kevin Lehman,,,,,,,,,,,,
,Dr. Mihaela Krausz,,,,,,,,,,,,
,Dr. Claire Paik,,,,,,,,,,,,
,Dr. Michael Zemelman,,,,,,,,,,,,
,Dr. Michael Yeung,,,,,,,,,,,,
,Dr. Randy Pritz,,,,,,,,,,,,
,Dr. Nancy Ma,,,,,,,,,,,,
,Dr. Lauren Huntington,,,,,,,,,,,,
,Dr. Krista McKenzie,,,,,,,,,,,,
,Dr. Lisa Handler,,,,,,,,,,,,
,Dr. Yookyung Park,,,,,,,,,,,,
,Dr. Anjali Aggarwal,,,,,,,,,,,,
,Dr. Shane Methal,,,,,,,,,,,,
,Dr. Susan Albano,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,Dr. Roman Roytberg,,,,,,,,,,,,
,Dr. Dorota Podlinski,,,,,,,,,,,,
,Dr. Todd Goldstein,,,,,,,,,,,,
,Dr. Judita Zibuts,,,,,,,,,,,,
,Dr. Devi Konar,,,,,,,,,,,,
,Dr. Mariam Habib,,,,,,,,,,,,
,Dr. Bradford Mclaughlin,,,,,,,,,,,,
,Dr. Stuart Schreiber,,,,,,,,,,,,
,Dr. Elliot Schreiber,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,"Barbara Tint, LCSW, PhD",Psychotherapist,"Alliant International University, PhD in Behavioral Health,Fordham University, Master’s in Social Work,Psychoanalytic Psychotherapy Study Center, Certificate in Psychoanalysis,The New School for Social Research (Bachelor’s)",Female,,English,1740342443,"4.5,4.5,4.5",4.5,"Barbara L. Tint, PhD","841 Broadway,, ,(between 13th and 14th st) Suite 302","New York,NY,10003",
,Dr. Jacques Jospitre,,,,,,,,,,,,
,"Richard Horowitz, LCSW",Psychotherapist,"New York University, Master of Social Work",Male,,"English,French",1356434740,"4.5,5,4.5",4.5,Richard Horowitz,"31 Washington Square West,, ,Penthouse E,305 West 50th Street,, ,22-A","New York,NY,10011,New York,NY,10019","icon-speedy-response,icon-scheduling-hero"
,Leonard Ruder,,,,,,,,,,,,
,"Lawrence Birnbach, PhD",Psychologist,"New York University (PhD),New York University (Psychotherapy and Psychoanalysis)",Male,,English,1972809796,"5,5,5",5,Lawrence Birnbach,"840 Post Road East,80 East 11th Street,, ,Suite 312,80 University Pl,, ,#4 and 4e","Westport,CT,06880,New York,NY,10003,New York,NY,10003",icon-scheduling-hero
,"Dr. Mona Nicolae, MD","Child and Adolescent Psychiatrist, Psychiatrist","Columbia University (Psychoanalysis),Cornell University, Fellowship in Child and Adolescent Psychiatrist,Medical School - Universitatea de Medicina si Farmacie Carol Davila,University of Rochester, Residency in Psychiatry",Female,,"English,French,Romanian",1679516991,"5,5,5",5,"Mona Nicolae, MD.","280 Madison Ave,, ,Suite 311,3 Beechwood Rd,, ,Suite 2","New York,NY,10016,Summit,NJ,07901","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Brian Meehan,,,,,,,,,,,,
,Dr. Alexandra (Alejandra) Valencia,,,,,,,,,,,,
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Daniel L. Motola, MD, PhD","Gastroenterologist, Internist","The Mount Sinai Hospital, Residency in Internal Medicine,Harvard University, Massachusetts General Hospital, Fellowship in Gastroenterology,University of Texas, Southwestern, PhD in Biochemistry,Medical School - University of Texas, Southwestern, Doctor of Medicine,The Mount Sinai Hospital, Fellowship in Transplant Hepatology,Brandeis University (Bachelor's),The Mount Sinai Hospital, Internship in Internal Medicine",Male,,"English,Spanish",1245499821,"5,4.5,5",5,Gotham Medical Associates,"535 5th Ave,, ,611,123 William Street,, ,15th Floor","New York,NY,10017,New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Igor Ilyabayev, DDS","Dentist, Cosmetic Dentist","Dental School - New York University, Doctor of Dental Surgery,Icahn School of Medicine at Mount Sinai (Residency)",Male,,"English,Russian",1013188242,"5,4.5,5",5,Central Ave Dental,"139 North Central Avenue,, ,Suite 3,225 Broadway,, ,STE 705","Valley Stream,NY,11580,New York,NY,10007","icon-see-you-again,icon-speedy-response"
,Dr. David Salvage,,,,,,,,,,,,
,Dr. Pavel Filimonov,,,,,,,,,,,,
"American Board of Psychiatry and Neurology,Clinical Neurophysiology (Psychiatry and Neurology),Neurology (Psychiatry and Neurology)","Dr. Thomas Hoang, MD",Neurologist,"Medical School - Drexel University, Doctor of Medicine,Rush University, Residency in Neurology,University of Nevada, Reno (Internship)",Male,,English,1912090598,"4.5,4.5,4.5",4.5,Complete Neurological Care,"112-47 Queens Blvd,, ,Suite 206,225 Broadway,, ,Suite 705,3224 Grand Concourse,, ,Ste BA,601 W 163rd St,42-7 30th Ave,111 N 7th St,111 N 7th St","Forest Hills,NY,11375,New York,NY,10007,Bronx,NY,10458,New York,NY,10032,Astoria,NY,11103,Brooklyn,NY,11249,Brooklyn,NY,11249","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
American Board of Obstetrics and Gynecology,"Dr. Angie Li, MD",OB-GYN,"Medical School - University of Texas, San Antonio, Doctor of Medicine,New York Downtown Hospital, Residency in Obstetrics and Gynecology",Female,,"Chinese (Mandarin),English",1174888028,"4,3,4.5",4,Mott Women Healthcare PLLC,"128 Mott Street,, ,Suite 501,849 57th Street,, ,2nd Floor","New York,NY,10013,Brooklyn,NY,11220","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
The Mount Sinai Hospital,"Dr. Jonathan Leung, DO","Physiatrist, Acupuncturist","Medical School - New York Institute of Technology, New York College of Osteopathic Medicine,University of Michigan, Residency in Physical Medicine and Rehabilitation",Male,,"Chinese (Cantonese),Chinese (Mandarin),English",1780710798,"5,5,5",5,C.S. Leung Rehabilitation Medicine,19 Bowery,"New York,NY,10002","icon-see-you-again,icon-speedy-response"
,Dr. Veronica Ruelas,,,,,,,,,,,,
,"Maggie Jiang, FNP, NP","Family Nurse Practitioner, Nurse Practitioner","Pace University, Master's in Family Nursing,State University of New York, Buffalo (Bachelor's)",Female,,"Chinese (Mandarin),Chinese (Wenzhounese),English",1649711375,"5,5,5",5,Acuiderm Cosmetic Laser Center,"136-20 38th Ave,, ,Suite 5H,6402 8th Ave,, ,Suite 505,185 Canal Street,, ,Suite 201","Flushing,NY,11354,Brooklyn,NY,11220,New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-scheduling-hero"
,"Dr. Shelly Shi, MD","Internist, Primary Care Doctor","Albert Einstein College of Medicine of Yeshiva University (Internship),Maimonides Medical Center (Residency),Medical School - Shanghai Jiao Tong University School of Medicine, Bachelor of Medicine",Female,,"Chinese (Cantonese),Chinese (Mandarin),English",1992721104,"4.5,4.5,4.5",4.5,Shelly Shi,"185 Canal Street,, ,4th Floor","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
New York-Presbyterian Hospital / Weill Cornell Medical Center,"Dr. Laurence Saul, MD","Child and Adolescent Psychiatrist, Psychiatrist","NewYork-Presbyterian Hospital / Columbia University Medical Center, Fellowship in Child and Adolescent Psychiatry,NewYork-Presbyterian Hospital / Columbia University Medical Center, Internship in Psychiatry,NewYork-Presbyterian Hospital / Columbia University Medical Center, Residency in Psychiatry,New York University, The Sackler Institute, Fellowship in Parent and Infant Psychiatry,Medical School - Tufts University, Doctor of Medicine",Male,,English,1821146515,"4,4.5,4",4,Laurence R. Saul,"291 Broadway,, ,Suite 1505,211 Central Park West,, ,Suite 1K","New York,NY,10007,New York,NY,10024","icon-rapid-registration,icon-scheduling-hero"
,Dr. Eddie Yang,,,,,,,,,,,,
,"Lauren Carleton, PT, DPT",Physical Therapist,"Columbia University, Doctor of Physical Therapy",Female,,English,1881022168,"5,4.5,4.5",5,Spear Physical Therapy,"16 Park Pl,, ,Ground Floor","New York,NY,10007",icon-rapid-registration
,"Dr. Shweta Verma, DDS",Dentist,"Dental School - University of California, Los Angeles,The Mount Sinai Hospital, Residency in General Practice",Female,,English,1598917742,"5,5,5",5,Holistic Dentists,17 Park Place,"New York,NY,10007",icon-rapid-registration
Lenox Hill Hospital,"Dr. Patrick Jean-Pierre, MD","Sports Medicine Specialist, Internist","Henry Ford Hospital, Fellowship in Primary Care Sports Medicine,Cornell University (Bachelor’s),North Shore University Hospital, Internship in Internal Medicine,Medical School - State University of New York, Upstate Medical University, Doctor of Medicine,North Shore University Hospital, Residency in Internal Medicine",Male,,English,1548422660,"5,5,5",5,Hudson Wellness,281 Broadway,"New York,NY,10007",icon-see-you-again
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-speedy-response"
,Dr. Harry Lee,,,,,,,,,,,,
,"Dr. Chia-Hung (Tony) Lin, DDS",Orthodontist,"Dental School - University of Western Ontario, Doctor of Dental Surgery,Faxton St. Luke’s Healthcare, Residency in General Practice,Roseman University of Health Sciences, Internship in Orthodontics and Dentofacial Orthopedics,St. Barnabas Hospital, Certificate in Orthodontics and Dentofacial Orthopedics",Male,,"Chinese (Cantonese),Chinese (Mandarin),English",1407168982,"5,4.5,5",5,Manhattan Dentistry NYC PC,"41 Mott Street,, ,2nd Fl.","New York,NY,10013",icon-scheduling-hero
"Bellevue Hospital Center,Saint Barnabas Hospital,South Nassau Communities Hospital","Dr. Sooji Kim, DPM",Podiatrist,"New York College of Podiatric Medicine, Doctor of Podiatric Medicine,South Manhattan Healthcare Network, Bellevue Hospital Center, Residency in Podiatric Surgery",Female,,"English,Korean",1053717629,"5,4.5,5",5,Gotham Footcare PC,"233 Broadway,, ,1775,233 Broadway,, ,Suite 1775,28 W 44th St,, ,Suite 209,25 W 43rd St,, ,Suite 209","New York,NY,10279,New York,NY,10279,New York,NY,10036,New York,NY,10036","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Miguel Cunha,,,,,,,,,,,,
"American Board of Podiatric Surgery,Foot Surgery (Podiatric Surgery),Reconstructive Rearfoot / Ankle Surgery (Podiatric Surgery)","Dr. Miguel Cunha, DPM",Podiatrist,"Georgetown University, Washington Hospital Center,  Residency in Surgery,Harvard University (Skin and Chronic Wound Care),Temple University, Doctor of Podiatric Medicine",Male,,"English,Portuguese,Spanish",1376700815,"5,4.5,5",5,Gotham Footcare PC,"233 Broadway,, ,1775,233 Broadway,, ,Suite 1775,28 W 44th St,, ,Suite 209,25 W 43rd St,, ,Suite 209","New York,NY,10279,New York,NY,10279,New York,NY,10036,New York,NY,10036","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Dr. Esteban Chan, DMD",Dentist,"Dental School - Tufts University, Doctor of Dental Medicine",Male,,"Chinese (Cantonese),Chinese (Mandarin),English,Spanish",1922124460,"4.5,4,4.5",4.5,Esteban Chan,"185 Canal Street,12 S Holmdel Rd","New York,NY,10013,Holmdel,NJ,07733",
,Dr. Felix Chien,,,,,,,,,,,,
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
,"Dr. Alfred Ho, DDS","Dentist, Cosmetic Dentist","Dental School - Columbia University, Doctor of Dental Surgery",Male,,"Chinese (Cantonese),Chinese (Mandarin),English",1538376553,"5,5,5",5,"Alfred Ho, DDS","139 Centre Street,, ,Suite 718","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Tanuj Palvia,,,,,,,,,,,,
,Kathleen O'Donnell-Pickert,,,,,,,,,,,,
Lenox Hill Hospital,"Dr. Robert F. Mancuso, MD, MPH","Spine Specialist, Sports Medicine Specialist, Pain Management Specialist, Physiatrist","Medical School - St. George's University School of Medicine, Doctor of Medicine,State University of New York, Downstate Medical Center, Residency in Physical Medicine and Rehabilitation,State University of New York, Downstate Medical Center, Internship in Internal Medicine,St. George’s University, Master’s in Public Health,Rutgers, The State University of New Jersey, Center for Advanced Pain Management and Rehabilitation, Fellowship in Interventional Spine and Sports Medicine",Male,,"English,Italian,Spanish",1003109208,"5,4.5,5",5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
Gastroenterology (Internal Medicine),"Dr. Jianjun Li, MD",Gastroenterologist,"Bronx Veterans Affairs Medical Center (Residency),Medical School - Zhongshan School of Medicine, Sun Yat-Sen University, Bachelor of Medicine, Bachelor of Surgery",Male,,"Chinese (Cantonese),Chinese (Fujian),Chinese (Mandarin),English",1437171683,"4.5,4,4.5",4.5,BROOKLYN,"5715 7th Ave,8686 Bay Parkway,, ,M1,139 Centre Street,, ,Suite 704,42-35 Main Street,, ,Suite 3E","Brooklyn,NY,11220,Brooklyn,NY,11214,New York,NY,10013,Flushing,NY,11355",icon-scheduling-hero
,Dr. Jessica Lee,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Jose Echenique, MD","Orthopedic Surgeon, Sports Medicine Specialist","American Sports Medicine Institute, Fellowship in Sports Medicine,George Washington University, Residency in Orthopedic Surgery,Medical School - Dartmouth College, Doctor of Medicine",Male,,"English,Spanish",1083855696,"5,4.5,5",5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-speedy-response"
,Dr. Sooji Kim,,,,,,,,,,,,
American Board of Podiatric Medicine,"Dr. Sanaz Lalehparvar, DPM",Podiatrist,"New York College of Podiatric Medicine, Doctor of Podiatric Medicine,Trinitas Regional Medical Center (Residency)",Female,,"English,Farsi",1902282395,"5,4.5,5",5,Gotham Footcare PC,"233 Broadway,, ,1775,233 Broadway,, ,Suite 1775,28 W 44th St,, ,Suite 209,25 W 43rd St,, ,Suite 209","New York,NY,10279,New York,NY,10279,New York,NY,10036,New York,NY,10036","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Sanaz Lalehparvar,,,,,,,,,,,,
,Keven Duffy,,,,,,,,,,,,
,Kayla Rowland,,,,,,,,,,,,
,"Dr. Igor Tkachuk, DDS","Dentist, Cosmetic Dentist","Dental School - New York University, Doctor of Dental Surgery",Male,,"English,Polish,Russian",1568729788,"4.5,4.5,4.5",4.5,65 Broadway Dental,"65 Broadway,, ,Ste 408","New York,NY,10006","icon-see-you-again,icon-speedy-response"
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
,Dr. Sid Sharma,,,,,,,,,,,,
"Hackensack University Medical Center,Lenox Hill Hospital,New York University Elaine A. and Kenneth G. Langone Medical Center","Dr. Shari Reitzen, MD","Facial Plastic & Reconstructive Surgeon, Ear, Nose & Throat Doctor","Medical School - New York University, Doctor of Medicine,New York University Medical Center, Residency in Otolaryngology and Head and Neck Surgery,University of Miami Health System, Fellowship in Facial Plastic and Reconstructive Surgery",Female,,English,1225173370,"4.5,4.5,5",4.5,Tribeca ENT & Facial Plastic Surgery,95 Chambers Street,"New York,NY,10007","icon-rapid-registration,icon-speedy-response"
,Dr. Matthew Kohler,,,,,,,,,,,,
,"Dr. Neil Schafran, OD",Optometrist,"State University of New York, Doctor of Optometry",Male,,English,1497837231,"5,5,5",5,Nassau Fulton Optical,87  Nassau St,"New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Yen-Hua (Jessica) Liu, DPT",Physical Therapist,"Chang Gung University (Bachelor's),Loma Linda University, Doctor of Physical Therapy",Female,,"Chinese (Mandarin),English",,"5,5,5",5,Chung Ying Physical Therapy & Acupuncture,"80 Maiden Lane,, ,Suite 1007","New York,NY,10038","icon-see-you-again,icon-speedy-response"
,Dr. Shu Ping Rong,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,19 Murray St,240 Madison Ave,, ,12th Floor,422 5th Avenue","Maspeth,NY,11378,New York,NY,10007,New York,NY,10016,Brooklyn,NY,11215",icon-rapid-registration
,"Dr. Alevtina (Tina) Edgar, DDS","Dentist, Cosmetic Dentist","Dental School - New York University, Doctor of Dental Surgery,Jamaica Hospital Medical Center (Internship),Peninsula Hospital Center, Residency in General Practice",Female,,"English,Russian",1285982645,"4.5,4.5,5",4.5,Central Ave Dental,"225 Broadway,, ,STE 705,139 North Central Avenue,, ,Suite 3","New York,NY,10007,Valley Stream,NY,11580","icon-see-you-again,icon-speedy-response"
,Dr. Rohini Shantharam,,,,,,,,,,,,
,Dr. Lina Pilshchik,,,,,,,,,,,,
"American Board of Psychiatry and Neurology,Neurology (Psychiatry and Neurology)","Dr. Kevin (Kashyar) Khodabakhsh, MD","Pediatric Neurologist, Neurologist","Medical School - St. George's University School of Medicine, Doctor of Medicine",Male,,English,1073788667,"5,4,5",5,Complete Neurological Care,"1983 University Ave,765 Amsterdam Ave,210 N Central Park Ave,, ,Suite 250,3224 Grand Concourse,, ,Ste BA,601 W 163rd St,42-7 30th Ave,111 N 7th St,111 N 7th St,15 E 55th St,, ,4th floor,112-47 Queens Blvd,, ,Suite 206,225 Broadway,, ,Suite 705,274 Madison Ave,, ,Suite 304,139 N Central Ave,, ,Suite 2","Bronx,NY,10453,New York,NY,10025,Hartsdale,NY,10530,Bronx,NY,10458,New York,NY,10032,Astoria,NY,11103,Brooklyn,NY,11249,Brooklyn,NY,11249,New York,NY,10022,Forest Hills,NY,11375,New York,NY,10007,New York,NY,10016,Valley Stream,NY,11580","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Yakov Isakov,,,,,,,,,,,,
,Dr. John Wirth,,,,,,,,,,,,
"New York-Presbyterian Hospital / Weill Cornell Medical Center,NewYork-Presbyterian/Lower Manhattan Hospital","Dr. Nicole Sandover, MD",Pediatrician,"James Madison University (Bachelor’s),Medical School - State University of New York, Buffalo,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Pediatrics",Female,,English,1407146087,"5,4.5,5",5,Weill Cornell Medical Associates,"40 Worth Street,, ,Suite 402","New York,NY,10013","icon-see-you-again,icon-speedy-response"
,Dr. Raphael Santore,,,,,,,,,,,,
,Dr. Gilberto Alvarez Del Manzano,,,,,,,,,,,,
